State,Date,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
Alaska,2020-01-16,"virus, how do you, pakistan, awareness, might have","worldwide, ny, in this place, waiting for, russia","travel, scare, stupid, stuff, mad","read, news, article, thread, cover","taking, caught, going around, thought, y'all","hope, contract, dying, cough, would be","ppl, president, cuz, would be, eating","reduce your risk, let's, shake, common, trying to get","because of, cancel, hygiene, economy, surely","give, alcohol, apparently, washing your hands, sanitizer"
Alaska,2020-01-17,"it's, give, thinking, gonna get, giving","china, iran, world, handling, created","immune to the, immune to, you are immune, ate, if you ever","safe, will be, because of, market, industry","going to, fight, going to be, this year, because of","stop, spreading, going to, we need to, the only thing","patients, hospital, doctors, nhs, live","news, live, nyc, confirmed, cancel","virus, to avoid, killing, fight, viruses","buy, because of the, gonna, stock, masks"
Alaska,2020-01-18,"read, news, article, thread, cover","gonna, word, bring, tweets, town","hope, contract, dying, cough, would be","it's, i've, racist, hold, memes","news, heard, due to the, has been, plan","patient, quarantine, tested positive for, hospital, case","ppl, president, cuz, would be, eating","catch, hope, thing, cuz, karma","the spread of, to prevent, should be, mfs, wash their hands","worldwide, ny, in this place, waiting for, russia"
Alaska,2020-01-19,"vaccine, there is no, report, free, funding","school, close, bc of, gonna, schools","the spread of, to prevent, should be, mfs, wash their hands",", catching, afraid of, talking about, y'all","country, in india, beat, biggest, india","news, heard, due to the, has been, plan","bc, news, coming, what's, suddenly","will be, do you think, apparently, victims, die","give, alcohol, apparently, washing your hands, sanitizer","advice, email, clear, positive for, latest"
Alaska,2020-01-20,"trending, pray, trumpvirus, coronvirus, cornoravirus","cases, update, infected, confirmed, increase","scared, sick, the only one, right now, dangerous","pandemic, business, start, dance, cures","years, have been, de, killed, i feel like","government, plan, trump's, start, quarantine","news, live, nyc, confirmed, cancel","there's, person, test, isn't, ship","virus, idiot, human, 19, test positive for","it's, interesting, scary, children, badly"
Alaska,2020-01-21,"virus, how do you, pakistan, awareness, might have","impact, states, panic, give, health","it's, interesting, scary, children, badly","fears, due to, numbers, amid, hits","scared, sick, the only one, right now, dangerous","wash, clean, your hands, some people, hearing","it's, give, thinking, gonna get, giving","die, catch, so far, at this point, die from the","due to, italy, trip, washington, area","flu, a little, thing, more than, influenza"
Alaska,2020-01-22,"die, catch, so far, at this point, die from the","there's, person, test, isn't, ship","advice, email, clear, positive for, latest","fears, due to, numbers, amid, hits","house, will be, ago, asked, mf","reduce your risk, let's, shake, common, trying to get","cases, there are, cases of, uk, in the uk","started, brexit, blame, problem, eu","pandemic, business, start, dance, cures","hope, contract, dying, cough, would be"
Alaska,2020-01-23,"due to the, at work, empty, bc of the, travel","ppl, president, cuz, would be, eating","beer, cure, thought, americans, drinking","advice, email, clear, positive for, latest","flu, a little, thing, more than, influenza","panic, basically, response to, let's, city","virus, idiot, human, 19, test positive for","going to, fight, going to be, this year, because of","case of, case, confirmed, in my county, first case of","trump, president, election, spreading, america"
Alaska,2020-01-24,"sick, days, coming, give me, months","taking, caught, going around, thought, y'all","it's, interesting, scary, children, badly","fears, due to, numbers, amid, hits","going to, because of the, imagine, should be, hit","face, touch, train, bc, your face","test, risk, free, stand, police","there's, person, test, isn't, ship","deaths, cases, total, breaking, new cases of","read, news, article, thread, cover"
Alaska,2020-01-25,"news, heard, due to the, has been, plan","stop, spreading, going to, we need to, the only thing","vaccine, there is no, report, free, funding","death, i guess, made in china, 1st, be careful","virus, chinese, in china, spreading, started","thing, stupid, drink, numbers, trump","positive, case, confirmed, yesterday, cases","catch, hope, thing, cuz, karma","taking, caught, going around, thought, y'all","impact, states, panic, give, health"
