State,Date,Word Count,Relative Twitter Sentiment,Relative Twitter Anxiety,Relative Twitter Loneliness
Texas,2020-03-03,261690,0.14310573033566729,0.83487443287411,1.7305949223066963
Texas,2020-03-04,277490,-0.37430957173871804,0.8341110564661055,1.364809433863108
Texas,2020-03-05,259300,0.07802074792360215,0.8884578507547728,1.3709023405360676
Texas,2020-03-06,248682,0.8659027790245422,1.1157552442964915,1.5250209675279198
Texas,2020-03-07,215483,0.6491573574635952,0.7335173183024867,1.2230967089496705
Texas,2020-03-08,211297,0.5150238729904946,1.062574943661413,1.2406476295393432
Texas,2020-03-09,242687,0.28305006763819734,0.8232348375569539,0.950629182477564
Texas,2020-03-10,253651,-0.02266617555759354,0.7231214115918918,1.2358072526415418
Texas,2020-03-11,287131,-0.07806425382752508,0.800521260332233,0.9074489730360071
Texas,2020-03-12,335762,0.1392803812237087,0.6612220895751246,-0.2599849896395785
Texas,2020-03-13,338039,0.18504040644489617,0.9636803247158008,-0.15713857425425645
Texas,2020-03-14,280964,0.4777639501155765,1.0037108059699953,0.3699000869284539
Texas,2020-03-15,267704,0.24180734349042904,1.0183934267158594,0.5770377350971959
Texas,2020-03-16,329650,0.014204286856493668,1.1482377058089177,0.5838804274948871
Texas,2020-03-17,353428,0.057136638410286066,1.2480089319550938,0.26301852379847634
Texas,2020-03-18,329357,0.22933138929739716,1.0486289154287243,0.039793077416515055
Texas,2020-03-19,278356,0.3250961171358416,1.0734791644422652,0.5541072814098263
Texas,2020-03-20,315743,0.3009197599501552,0.8546419540369823,0.6708946735535878
Texas,2020-03-21,288040,0.28101979819661793,1.0187152581905132,1.1328299362163168
Texas,2020-03-22,293176,0.04425439113774473,1.1733438130688916,1.5608855122018563
Texas,2020-03-23,328302,-0.6523273441182251,1.0812949551845121,0.95228839401155
Texas,2020-03-24,333720,-0.1538883942587584,0.9326777327549552,0.6667688496136001
Texas,2020-03-25,316290,0.051449707370156764,0.7721445218047116,1.398612870171731
Texas,2020-03-26,330315,0.05577988359561629,0.7465789161019057,1.4397408968162426
Texas,2020-03-27,305145,0.2890524463105651,1.0388075756641335,1.2841208198898255
Texas,2020-03-28,284107,-0.12445271645157761,1.3267886113828136,1.9933366497187108
Texas,2020-03-29,275034,-0.24599949946655308,1.2937151978656947,1.9345499722814177
Texas,2020-03-30,312178,-0.059011746954646116,1.1662182503482639,1.4539972602648856
Texas,2020-03-31,291581,0.3749347679045227,1.14376471282264,1.5509182870209586
Texas,2020-04-01,252780,0.44955040345168223,0.9255544952196959,1.2207789561868607
Texas,2020-04-02,257717,0.478676175614958,0.784622595805659,1.486701217647661
Texas,2020-04-03,245490,0.4855474705646221,0.8226481610957908,1.4059819534414433
Texas,2020-04-04,240586,0.3116457129944729,1.1953973883540312,1.509773901337839
Texas,2020-04-05,232412,0.2507225126826819,1.3203425241675852,1.6382295900883
Texas,2020-04-06,252393,-0.10986960340139008,1.5235707218987464,1.5192245822967378
Texas,2020-04-07,116473,-0.3042065125651674,1.6402261532766582,1.5947256481028262
Texas,2020-04-08,337624,0.02920458571818783,1.1603902741940724,2.0228833539907907
Texas,2020-04-09,318520,-0.018010931655984115,1.1541105808117313,2.289819844459041
Texas,2020-04-10,295845,0.1266203739813795,1.1111541119562167,2.1394588614501724
Texas,2020-04-11,294238,0.24384185444675188,1.171252384303572,2.3155406051913707
Texas,2020-04-12,289251,0.6045077386337347,1.3464961315382082,2.1693300357422856
Texas,2020-04-13,305039,0.11111771766937159,1.0809787994597166,2.014107281973562
Texas,2020-04-14,315051,0.06105789835897383,0.8741884514075209,1.828667868808118
Texas,2020-04-15,316042,-0.05746918030601811,1.1885105563699805,2.3613911006326203
Texas,2020-04-16,303377,0.1885629389850385,1.0366392671040583,2.5589278229170547
Texas,2020-04-17,295824,0.2772968899500215,1.1834644920653412,2.3255532776517986
Texas,2020-04-18,292979,0.3803484370170027,1.0847726338484907,2.459076834087143
Texas,2020-04-19,288980,0.5580236504924168,1.0412610075308226,2.1300387160423346
Texas,2020-04-20,300945.00181818183,0.32943323936588653,1.0398480618341883,1.8300115032115398
Texas,2020-04-21,288149,0.6799288542810904,0.7213790729911359,1.234682210802295
Texas,2020-04-22,310656,0.07501569199459505,1.227995730495842,2.465072204467809
Texas,2020-04-23,311878,0.4918398856038508,0.8165859158175623,2.2433796427353676
Texas,2020-04-24,297018,0.1558869310998406,1.0459552809455783,1.5442681146250827
Texas,2020-04-25,285956,-0.20686374855073367,1.3806017319598887,1.9795498236534692
Texas,2020-04-26,267044,0.07996156703675025,1.1526237844467049,2.2859511070605825
Texas,2020-04-27,302865,0.38344134687241926,1.0949651096493902,1.942077969812808
Texas,2020-04-28,303462,-0.06549364540879461,0.9102698911625842,1.9750187462111124
Texas,2020-04-29,280979,0.2845807988619658,1.018000921440796,1.9725873132083025
Texas,2020-04-30,299840,0.06737839874143733,1.3462678741945984,2.084986798631979
Texas,2020-05-01,307105,0.45842183194549313,1.2199651735013077,1.8255100639949249
Texas,2020-05-02,264674,0.39996569540863786,0.9395781388484273,2.1878383832619983
Texas,2020-05-03,272672,-0.059572801710837835,1.3677039229908323,2.2485938062416846
Texas,2020-05-04,298032,0.32810986719599783,1.060184461994546,2.092387582029989
Texas,2020-05-05,307696,0.5540545784573514,1.0773516067526518,1.972608535914885
Texas,2020-05-06,296671,0.44224532259156824,1.1872672824013146,2.086856736995286
Texas,2020-05-07,306494,0.41616743785698107,0.9594113122065524,1.7804128134951525
Texas,2020-05-08,297835,0.41234717341968835,0.9697057788463933,1.6851680718725794
Texas,2020-05-09,266010,0.3115674274832407,1.1233269211462722,1.985191552605029
Texas,2020-05-10,252193,1.0456752940465304,1.7039307525335712,2.15295759026458
